id_tema,id_estudiante,titulo,linea_investigacion,descripcion,fecha_propuesta,estado,observaciones
16,181,Propuesta de intervención académica aplicada a Fonoaudiología,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-03-24,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
17,42,Estudio de mejora de procesos académicos en Economía,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-04-01,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
18,97,Evaluación de herramientas digitales para la gestión de titulación en Administración de Empresas,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-03-02,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
19,68,Análisis del proceso académico en la carrera de Hospitalidad y Hotelería,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-04-26,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
20,58,Análisis del proceso académico en la carrera de Comercio Exterior,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-03-09,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
21,105,Propuesta de intervención académica aplicada a Educación Especial,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-02-02,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
22,102,Estudio de mejora de procesos académicos en Comercio Exterior,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-03-27,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
23,39,Sistema de seguimiento para trabajos de titulación en Ingeniería en Sistema,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-03-02,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
24,133,Propuesta de intervención académica aplicada a Medicina,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-28,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
25,44,Evaluación de herramientas digitales para la gestión de titulación en Comunicación,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-04-03,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
26,147,Análisis del proceso académico en la carrera de Gestión de la Información Gerencial,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-04-21,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
27,7,Estudio de mejora de procesos académicos en Terapia Ocupacional,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-03-09,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
28,169,Estudio de mejora de procesos académicos en Ingeniería en Tecnologías de la Información,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-02-06,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
29,157,Sistema de seguimiento para trabajos de titulación en Artes Plásticas,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-02-04,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
30,45,Evaluación de herramientas digitales para la gestión de titulación en Medicina,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-03-04,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
31,4,Propuesta de intervención académica aplicada a Fisioterapia,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-04-28,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
32,136,Estudio de mejora de procesos académicos en Fisioterapia,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-03-22,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
33,35,Propuesta de intervención académica aplicada a Ingeniería Agroindustrial,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-03-18,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
34,80,Estudio de mejora de procesos académicos en Ingeniería Ambiental,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-04-11,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
35,40,Evaluación de herramientas digitales para la gestión de titulación en Biología,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-09,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
36,162,Sistema de seguimiento para trabajos de titulación en Arquitectura,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-04-15,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
37,197,Sistema de seguimiento para trabajos de titulación en Pedagogía de la Lengua y la Literatura,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-02-05,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
38,184,Propuesta de intervención académica aplicada a Psicología,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-04-15,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
39,76,Evaluación de herramientas digitales para la gestión de titulación en Ingeniería de Alimentos,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-04-05,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
40,178,Análisis del proceso académico en la carrera de Odontología,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-02-04,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
41,104,Propuesta de intervención académica aplicada a Educación Inicial,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-03-25,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
42,194,Sistema de seguimiento para trabajos de titulación en Psicología Educativa,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-07,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
43,134,Análisis del proceso académico en la carrera de Odontología,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-04-05,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
44,191,Propuesta de intervención académica aplicada a Gestión de la Información Gerencial,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-20,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
45,120,Evaluación de herramientas digitales para la gestión de titulación en Ingeniería de Alimentos,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-03-06,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
46,173,Propuesta de intervención académica aplicada a Derecho,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-08,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
47,153,Propuesta de intervención académica aplicada a Pedagogía de la Lengua y la Literatura,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-02-20,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
48,163,Sistema de seguimiento para trabajos de titulación en Ingeniería Industrial,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-02-09,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
49,94,Estudio de mejora de procesos académicos en Laboratorio Clínico,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-03-27,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
50,12,Sistema de seguimiento para trabajos de titulación en Auditoría y Control de Gestión,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-02-22,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
51,98,Propuesta de intervención académica aplicada a Mercadotecnia,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-05-01,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
52,16,Propuesta de intervención académica aplicada a Educación Inicial,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-18,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
53,199,Estudio de mejora de procesos académicos en Turismo,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-02-12,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
54,139,Estudio de mejora de procesos académicos en Terapia Ocupacional,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-03-11,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
55,168,Evaluación de herramientas digitales para la gestión de titulación en Ingeniería Ambiental,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-04-26,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
56,151,Sistema de seguimiento para trabajos de titulación en Educación Básica,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-04-24,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
57,143,Análisis del proceso académico en la carrera de Contabilidad y Auditoría,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-04-10,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
58,116,Sistema de seguimiento para trabajos de titulación en Ingeniería Marítima,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-02-22,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
59,3,Propuesta de intervención académica aplicada a Enfermería,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-05-02,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
60,77,Propuesta de intervención académica aplicada a Ingeniería Agropecuaria,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-17,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
61,32,Propuesta de intervención académica aplicada a Ingeniería de Alimentos,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-02-12,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
62,81,Sistema de seguimiento para trabajos de titulación en Ingeniería en Tecnologías de la Información,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-02-16,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
63,158,Estudio de mejora de procesos académicos en Sociología,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-04-04,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
64,207,Análisis del proceso académico en la carrera de Ingeniería Industrial,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-27,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
65,138,Evaluación de herramientas digitales para la gestión de titulación en Laboratorio Clínico,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-03-20,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
66,14,Sistema de seguimiento para trabajos de titulación en Comercio Exterior,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-02-08,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
67,27,Sistema de seguimiento para trabajos de titulación en Ingeniería Civil,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-03-16,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
68,60,Propuesta de intervención académica aplicada a Educación Inicial,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-04-14,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
69,154,Propuesta de intervención académica aplicada a Pedagogía de los Idiomas Nacionales y Extranjeros,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-02-13,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
70,37,Propuesta de intervención académica aplicada a Ingeniería en Tecnologías de la Información,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-02-28,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
71,88,Sistema de seguimiento para trabajos de titulación en Comunicación,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-03-28,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
72,46,Propuesta de intervención académica aplicada a Odontología,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-03-06,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
73,99,Análisis del proceso académico en la carrera de Contabilidad y Auditoría,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-02-10,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
74,196,Evaluación de herramientas digitales para la gestión de titulación en Pedagogía de la Actividad Física y el Deporte,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-03-09,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
75,112,Evaluación de herramientas digitales para la gestión de titulación en Hospitalidad y Hotelería,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-03-28,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
76,50,Evaluación de herramientas digitales para la gestión de titulación en Laboratorio Clínico,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-03-09,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
77,121,Análisis del proceso académico en la carrera de Ingeniería Agropecuaria,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-02-04,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
78,201,Estudio de mejora de procesos académicos en Artes Plásticas,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-04-08,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
79,166,Estudio de mejora de procesos académicos en Agronegocios,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-04-11,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
80,189,Análisis del proceso académico en la carrera de Finanzas,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-02-27,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
81,9,Estudio de mejora de procesos académicos en Administración de Empresas,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-03-27,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
82,171,Análisis del proceso académico en la carrera de Ingeniería en Sistema,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-04-12,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
83,25,Evaluación de herramientas digitales para la gestión de titulación en Artes Plásticas,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-02-10,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
84,89,Evaluación de herramientas digitales para la gestión de titulación en Medicina,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-03-26,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
85,110,Análisis del proceso académico en la carrera de Pedagogía de los Idiomas Nacionales y Extranjeros,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-02-08,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
86,172,Estudio de mejora de procesos académicos en Biología,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-03-09,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
87,52,Propuesta de intervención académica aplicada a Psicología,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-02-09,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
88,208,Estudio de mejora de procesos académicos en Ingeniería de Alimentos,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-04-04,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
89,145,Sistema de seguimiento para trabajos de titulación en Finanzas,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-21,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
90,23,Análisis del proceso académico en la carrera de Turismo,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-27,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
91,13,Estudio de mejora de procesos académicos en Finanzas,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-04-15,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
92,128,Evaluación de herramientas digitales para la gestión de titulación en Biología,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-02-22,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
93,192,Evaluación de herramientas digitales para la gestión de titulación en Educación Inicial,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-04-21,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
94,195,Evaluación de herramientas digitales para la gestión de titulación en Educación Básica,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-04-19,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
95,124,Análisis del proceso académico en la carrera de Ingeniería Ambiental,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-03-11,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
96,8,Propuesta de intervención académica aplicada a Psicología,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-04-22,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
97,59,Propuesta de intervención académica aplicada a Gestión de la Información Gerencial,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-04-24,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
98,6,Estudio de mejora de procesos académicos en Laboratorio Clínico,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-02-13,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
99,152,Estudio de mejora de procesos académicos en Pedagogía de la Actividad Física y el Deporte,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-03-09,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
100,22,Propuesta de intervención académica aplicada a Pedagogía de los Idiomas Nacionales y Extranjeros,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-03-11,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
101,17,Evaluación de herramientas digitales para la gestión de titulación en Educación Especial,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-02-02,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
102,28,Estudio de mejora de procesos académicos en Ingeniería Marítima,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-04-19,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
103,70,Propuesta de intervención académica aplicada a Sociología,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-03-20,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
104,164,Estudio de mejora de procesos académicos en Ingeniería de Alimentos,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-03-28,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
105,160,Sistema de seguimiento para trabajos de titulación en Ingeniería Marítima,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-04-10,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
106,127,Propuesta de intervención académica aplicada a Ingeniería en Sistema,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-02-10,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
107,75,Sistema de seguimiento para trabajos de titulación en Ingeniería Industrial,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-03-06,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
108,206,Estudio de mejora de procesos académicos en Arquitectura,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-03-24,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
109,155,Estudio de mejora de procesos académicos en Turismo,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-04-05,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
110,43,Propuesta de intervención académica aplicada a Trabajo Social,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-04-16,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
111,144,Propuesta de intervención académica aplicada a Auditoría y Control de Gestión,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-04-25,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
112,34,Evaluación de herramientas digitales para la gestión de titulación en Agronegocios,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-04-11,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
113,29,Estudio de mejora de procesos académicos en Electricidad,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-04-26,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
114,126,Análisis del proceso académico en la carrera de Ingeniería en Software,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-04-01,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
115,63,Sistema de seguimiento para trabajos de titulación en Educación Básica,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-04-30,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
116,38,Estudio de mejora de procesos académicos en Ingeniería en Software,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-03-31,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
117,103,Propuesta de intervención académica aplicada a Gestión de la Información Gerencial,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-02-25,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
118,41,Propuesta de intervención académica aplicada a Derecho,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-04-25,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
119,183,Análisis del proceso académico en la carrera de Terapia Ocupacional,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-03-12,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
120,5,Evaluación de herramientas digitales para la gestión de titulación en Fonoaudiología,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-03-28,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
121,130,Estudio de mejora de procesos académicos en Economía,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-02-06,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
122,26,Estudio de mejora de procesos académicos en Sociología,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-03-27,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
123,47,Estudio de mejora de procesos académicos en Enfermería,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-02-25,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
124,159,Propuesta de intervención académica aplicada a Ingeniería Civil,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-02-15,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
125,165,Propuesta de intervención académica aplicada a Ingeniería Agropecuaria,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-03-17,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
126,86,Evaluación de herramientas digitales para la gestión de titulación en Economía,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-02-15,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
127,56,Estudio de mejora de procesos académicos en Auditoría y Control de Gestión,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-05-01,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
128,185,Estudio de mejora de procesos académicos en Administración de Empresas,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-02-10,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
129,96,Análisis del proceso académico en la carrera de Psicología,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-02-24,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
130,10,Evaluación de herramientas digitales para la gestión de titulación en Mercadotecnia,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-03-16,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
131,61,Estudio de mejora de procesos académicos en Educación Especial,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-04-12,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
132,123,Estudio de mejora de procesos académicos en Ingeniería Agroindustrial,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-04-22,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
133,87,Propuesta de intervención académica aplicada a Trabajo Social,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-04-10,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
134,111,Propuesta de intervención académica aplicada a Turismo,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-04-08,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
135,129,Evaluación de herramientas digitales para la gestión de titulación en Derecho,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-03-05,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
136,106,Análisis del proceso académico en la carrera de Psicología Educativa,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-04-04,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
137,148,Estudio de mejora de procesos académicos en Educación Inicial,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-03-13,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
