id_avance,id_estudiante,numero_avance,tipo_documento,fecha_entrega,estado,comentario_tutor,archivo,fecha_revision
36,184,6,Borrador final,2026-04-30,Observado,Debe mejorar redacción y coherencia.,avance_36.pdf,2026-05-04
37,81,1,Capítulo III,2026-03-23,Aprobado,Avance aceptado para continuar el proceso.,avance_37.pdf,2026-04-01
38,37,4,Capítulo I,2026-07-08,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_38.pdf,2026-07-09
39,162,1,Capítulo III,2026-03-14,Corregido,Documento revisado con observaciones menores.,avance_39.pdf,2026-03-21
40,5,2,Trabajo final,2026-06-04,Observado,Avance aceptado para continuar el proceso.,avance_40.pdf,2026-06-10
41,36,4,Borrador final,2026-05-03,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_41.pdf,2026-05-05
42,68,4,Capítulo III,2026-03-21,Corregido,Debe mejorar redacción y coherencia.,avance_42.pdf,2026-03-27
43,44,3,Borrador final,2026-03-24,Pendiente,Debe mejorar redacción y coherencia.,avance_43.pdf,2026-03-30
44,59,3,Capítulo III,2026-03-29,Observado,Debe mejorar redacción y coherencia.,avance_44.pdf,2026-04-08
45,116,5,Capítulo II,2026-05-18,Entregado,Debe mejorar redacción y coherencia.,avance_45.pdf,2026-05-26
46,92,4,Capítulo III,2026-06-23,Corregido,Documento revisado con observaciones menores.,avance_46.pdf,2026-06-24
47,35,3,Capítulo I,2026-05-20,Pendiente,Documento revisado con observaciones menores.,avance_47.pdf,2026-05-29
48,191,2,Capítulo II,2026-03-14,Observado,Se recomienda ampliar la fundamentación teórica.,avance_48.pdf,2026-03-20
49,103,1,Borrador final,2026-03-23,Pendiente,Debe mejorar redacción y coherencia.,avance_49.pdf,2026-03-25
50,13,2,Trabajo final,2026-06-11,Corregido,Revisión registrada por el docente tutor.,avance_50.pdf,2026-06-19
51,126,3,Capítulo II,2026-06-06,Entregado,Revisión registrada por el docente tutor.,avance_51.pdf,2026-06-10
52,184,1,Borrador final,2026-03-11,Aprobado,Debe mejorar redacción y coherencia.,avance_52.pdf,2026-03-20
53,139,2,Capítulo I,2026-06-14,Pendiente,Avance aceptado para continuar el proceso.,avance_53.pdf,2026-06-18
54,59,1,Capítulo III,2026-06-15,Observado,Se recomienda ampliar la fundamentación teórica.,avance_54.pdf,2026-06-23
55,69,4,Borrador parcial,2026-03-22,Observado,Avance aceptado para continuar el proceso.,avance_55.pdf,2026-03-31
56,56,6,Borrador parcial,2026-03-12,Observado,Revisión registrada por el docente tutor.,avance_56.pdf,2026-03-15
57,66,3,Trabajo final,2026-06-01,Aprobado,Debe mejorar redacción y coherencia.,avance_57.pdf,2026-06-11
58,3,6,Borrador parcial,2026-06-11,Aprobado,Avance aceptado para continuar el proceso.,avance_58.pdf,2026-06-20
59,5,4,Capítulo III,2026-06-16,Entregado,Se recomienda ampliar la fundamentación teórica.,avance_59.pdf,2026-06-23
60,181,1,Capítulo III,2026-05-04,Observado,Avance aceptado para continuar el proceso.,avance_60.pdf,2026-05-05
61,183,5,Capítulo III,2026-06-02,Aprobado,Revisión registrada por el docente tutor.,avance_61.pdf,2026-06-05
62,117,2,Capítulo II,2026-04-24,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_62.pdf,2026-05-04
63,38,3,Capítulo I,2026-03-12,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_63.pdf,2026-03-21
64,201,6,Borrador final,2026-06-17,Observado,Debe mejorar redacción y coherencia.,avance_64.pdf,2026-06-19
65,202,1,Borrador parcial,2026-05-07,Entregado,Documento revisado con observaciones menores.,avance_65.pdf,2026-05-12
66,105,2,Borrador final,2026-03-14,Aprobado,Debe mejorar redacción y coherencia.,avance_66.pdf,2026-03-17
67,153,1,Trabajo final,2026-03-13,Pendiente,Documento revisado con observaciones menores.,avance_67.pdf,2026-03-21
68,17,4,Capítulo I,2026-04-11,Corregido,Documento revisado con observaciones menores.,avance_68.pdf,2026-04-16
69,186,5,Capítulo II,2026-07-08,Pendiente,Documento revisado con observaciones menores.,avance_69.pdf,2026-07-12
70,51,3,Borrador final,2026-05-17,Pendiente,Avance aceptado para continuar el proceso.,avance_70.pdf,2026-05-18
71,3,6,Trabajo final,2026-03-26,Aprobado,Debe mejorar redacción y coherencia.,avance_71.pdf,2026-04-01
72,185,5,Propuesta de tema,2026-06-30,Observado,Documento revisado con observaciones menores.,avance_72.pdf,2026-07-06
73,87,3,Capítulo I,2026-04-08,Observado,Documento revisado con observaciones menores.,avance_73.pdf,2026-04-18
74,103,4,Borrador parcial,2026-06-28,Observado,Avance aceptado para continuar el proceso.,avance_74.pdf,2026-07-06
75,168,1,Borrador final,2026-06-20,Entregado,Se recomienda ampliar la fundamentación teórica.,avance_75.pdf,2026-06-26
76,42,6,Borrador final,2026-06-27,Pendiente,Revisión registrada por el docente tutor.,avance_76.pdf,2026-07-04
77,177,5,Capítulo II,2026-06-22,Aprobado,Documento revisado con observaciones menores.,avance_77.pdf,2026-07-01
78,106,1,Capítulo II,2026-06-18,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_78.pdf,2026-06-20
79,160,2,Capítulo I,2026-03-15,Observado,Debe mejorar redacción y coherencia.,avance_79.pdf,2026-03-21
80,5,3,Trabajo final,2026-05-30,Pendiente,Debe mejorar redacción y coherencia.,avance_80.pdf,2026-05-31
81,160,3,Borrador parcial,2026-06-05,Observado,Se recomienda ampliar la fundamentación teórica.,avance_81.pdf,2026-06-10
82,157,3,Propuesta de tema,2026-04-17,Observado,Se recomienda ampliar la fundamentación teórica.,avance_82.pdf,2026-04-27
83,118,2,Capítulo I,2026-04-06,Pendiente,Debe mejorar redacción y coherencia.,avance_83.pdf,2026-04-07
84,125,5,Capítulo I,2026-06-22,Entregado,Documento revisado con observaciones menores.,avance_84.pdf,2026-06-25
85,28,4,Capítulo II,2026-06-07,Corregido,Avance aceptado para continuar el proceso.,avance_85.pdf,2026-06-17
86,185,4,Borrador parcial,2026-05-29,Pendiente,Revisión registrada por el docente tutor.,avance_86.pdf,2026-06-02
87,40,2,Propuesta de tema,2026-04-06,Corregido,Revisión registrada por el docente tutor.,avance_87.pdf,2026-04-12
88,34,6,Capítulo II,2026-04-24,Observado,Avance aceptado para continuar el proceso.,avance_88.pdf,2026-05-01
89,138,3,Borrador final,2026-05-21,Aprobado,Documento revisado con observaciones menores.,avance_89.pdf,2026-05-23
90,2,5,Borrador parcial,2026-03-19,Entregado,Documento revisado con observaciones menores.,avance_90.pdf,2026-03-25
91,52,5,Capítulo I,2026-05-04,Entregado,Se recomienda ampliar la fundamentación teórica.,avance_91.pdf,2026-05-12
92,159,4,Propuesta de tema,2026-04-14,Aprobado,Revisión registrada por el docente tutor.,avance_92.pdf,2026-04-15
93,39,1,Borrador parcial,2026-03-24,Entregado,Revisión registrada por el docente tutor.,avance_93.pdf,2026-03-27
94,157,3,Borrador final,2026-04-15,Entregado,Debe mejorar redacción y coherencia.,avance_94.pdf,2026-04-16
95,11,6,Capítulo III,2026-05-03,Observado,Se recomienda ampliar la fundamentación teórica.,avance_95.pdf,2026-05-05
96,103,3,Capítulo I,2026-06-05,Entregado,Debe mejorar redacción y coherencia.,avance_96.pdf,2026-06-07
97,202,5,Capítulo II,2026-03-29,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_97.pdf,2026-04-06
98,201,5,Capítulo III,2026-04-19,Pendiente,Avance aceptado para continuar el proceso.,avance_98.pdf,2026-04-27
99,14,5,Borrador final,2026-04-30,Corregido,Debe mejorar redacción y coherencia.,avance_99.pdf,2026-05-03
100,44,2,Borrador final,2026-05-15,Aprobado,Documento revisado con observaciones menores.,avance_100.pdf,2026-05-20
101,68,5,Capítulo III,2026-04-26,Pendiente,Documento revisado con observaciones menores.,avance_101.pdf,2026-04-27
102,40,6,Borrador parcial,2026-03-25,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_102.pdf,2026-03-30
103,196,6,Borrador final,2026-03-16,Aprobado,Debe mejorar redacción y coherencia.,avance_103.pdf,2026-03-24
104,147,2,Borrador final,2026-06-21,Observado,Avance aceptado para continuar el proceso.,avance_104.pdf,2026-06-23
105,97,5,Borrador parcial,2026-06-01,Pendiente,Revisión registrada por el docente tutor.,avance_105.pdf,2026-06-05
106,39,5,Trabajo final,2026-03-30,Entregado,Se recomienda ampliar la fundamentación teórica.,avance_106.pdf,2026-04-05
107,203,1,Borrador final,2026-05-15,Pendiente,Avance aceptado para continuar el proceso.,avance_107.pdf,2026-05-21
108,52,2,Borrador parcial,2026-06-25,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_108.pdf,2026-07-02
109,18,6,Capítulo I,2026-05-12,Pendiente,Revisión registrada por el docente tutor.,avance_109.pdf,2026-05-13
110,92,5,Borrador final,2026-05-12,Corregido,Debe mejorar redacción y coherencia.,avance_110.pdf,2026-05-17
111,171,4,Capítulo II,2026-04-24,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_111.pdf,2026-04-30
112,152,2,Trabajo final,2026-04-18,Observado,Se recomienda ampliar la fundamentación teórica.,avance_112.pdf,2026-04-19
113,46,4,Borrador parcial,2026-06-20,Entregado,Se recomienda ampliar la fundamentación teórica.,avance_113.pdf,2026-06-29
114,184,4,Capítulo I,2026-04-16,Entregado,Revisión registrada por el docente tutor.,avance_114.pdf,2026-04-22
115,14,3,Borrador final,2026-06-27,Observado,Debe mejorar redacción y coherencia.,avance_115.pdf,2026-07-05
116,147,5,Borrador parcial,2026-04-07,Aprobado,Avance aceptado para continuar el proceso.,avance_116.pdf,2026-04-08
117,61,2,Propuesta de tema,2026-05-04,Pendiente,Debe mejorar redacción y coherencia.,avance_117.pdf,2026-05-06
118,11,4,Propuesta de tema,2026-05-30,Observado,Avance aceptado para continuar el proceso.,avance_118.pdf,2026-06-01
119,206,5,Borrador parcial,2026-05-31,Pendiente,Debe mejorar redacción y coherencia.,avance_119.pdf,2026-06-10
120,140,6,Capítulo II,2026-05-01,Pendiente,Debe mejorar redacción y coherencia.,avance_120.pdf,2026-05-11
121,196,4,Borrador final,2026-03-14,Observado,Revisión registrada por el docente tutor.,avance_121.pdf,2026-03-16
122,195,1,Capítulo III,2026-03-17,Observado,Avance aceptado para continuar el proceso.,avance_122.pdf,2026-03-19
123,203,3,Propuesta de tema,2026-04-09,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_123.pdf,2026-04-15
124,209,5,Borrador final,2026-03-28,Entregado,Se recomienda ampliar la fundamentación teórica.,avance_124.pdf,2026-04-03
125,17,3,Propuesta de tema,2026-06-22,Observado,Se recomienda ampliar la fundamentación teórica.,avance_125.pdf,2026-06-28
126,27,2,Capítulo I,2026-05-08,Observado,Se recomienda ampliar la fundamentación teórica.,avance_126.pdf,2026-05-15
127,148,3,Propuesta de tema,2026-05-19,Pendiente,Se recomienda ampliar la fundamentación teórica.,avance_127.pdf,2026-05-23
128,171,3,Capítulo I,2026-04-20,Entregado,Debe mejorar redacción y coherencia.,avance_128.pdf,2026-04-28
129,80,4,Propuesta de tema,2026-04-23,Pendiente,Se recomienda ampliar la fundamentación teórica.,avance_129.pdf,2026-04-30
130,76,1,Capítulo II,2026-03-20,Entregado,Documento revisado con observaciones menores.,avance_130.pdf,2026-03-30
131,157,2,Borrador parcial,2026-05-08,Observado,Avance aceptado para continuar el proceso.,avance_131.pdf,2026-05-13
132,38,3,Capítulo III,2026-03-23,Corregido,Documento revisado con observaciones menores.,avance_132.pdf,2026-03-28
133,69,2,Borrador final,2026-05-25,Pendiente,Debe mejorar redacción y coherencia.,avance_133.pdf,2026-06-02
134,11,3,Capítulo I,2026-03-25,Corregido,Avance aceptado para continuar el proceso.,avance_134.pdf,2026-04-01
135,22,2,Borrador parcial,2026-03-10,Pendiente,Revisión registrada por el docente tutor.,avance_135.pdf,2026-03-16
136,197,4,Propuesta de tema,2026-04-16,Observado,Se recomienda ampliar la fundamentación teórica.,avance_136.pdf,2026-04-20
137,105,3,Borrador final,2026-05-30,Observado,Se recomienda ampliar la fundamentación teórica.,avance_137.pdf,2026-06-03
138,36,2,Trabajo final,2026-05-08,Entregado,Avance aceptado para continuar el proceso.,avance_138.pdf,2026-05-13
139,168,5,Borrador parcial,2026-07-04,Aprobado,Debe mejorar redacción y coherencia.,avance_139.pdf,2026-07-09
140,56,3,Trabajo final,2026-05-18,Pendiente,Debe mejorar redacción y coherencia.,avance_140.pdf,2026-05-28
141,80,1,Capítulo II,2026-03-30,Aprobado,Documento revisado con observaciones menores.,avance_141.pdf,2026-04-01
142,156,1,Capítulo II,2026-05-23,Corregido,Debe mejorar redacción y coherencia.,avance_142.pdf,2026-06-01
143,152,4,Propuesta de tema,2026-07-03,Pendiente,Debe mejorar redacción y coherencia.,avance_143.pdf,2026-07-09
144,154,6,Propuesta de tema,2026-06-07,Pendiente,Documento revisado con observaciones menores.,avance_144.pdf,2026-06-15
145,80,1,Trabajo final,2026-04-26,Pendiente,Revisión registrada por el docente tutor.,avance_145.pdf,2026-04-27
146,107,2,Propuesta de tema,2026-03-12,Aprobado,Documento revisado con observaciones menores.,avance_146.pdf,2026-03-19
147,3,2,Trabajo final,2026-04-01,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_147.pdf,2026-04-03
148,60,6,Capítulo I,2026-07-06,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_148.pdf,2026-07-09
149,154,1,Capítulo III,2026-03-13,Pendiente,Avance aceptado para continuar el proceso.,avance_149.pdf,2026-03-20
150,43,6,Capítulo III,2026-05-31,Pendiente,Revisión registrada por el docente tutor.,avance_150.pdf,2026-06-02
151,112,3,Capítulo II,2026-05-25,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_151.pdf,2026-06-02
152,176,1,Borrador parcial,2026-04-28,Pendiente,Avance aceptado para continuar el proceso.,avance_152.pdf,2026-04-30
153,133,2,Trabajo final,2026-05-17,Entregado,Debe mejorar redacción y coherencia.,avance_153.pdf,2026-05-25
154,70,2,Borrador final,2026-04-24,Observado,Revisión registrada por el docente tutor.,avance_154.pdf,2026-04-29
155,32,6,Capítulo I,2026-06-05,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_155.pdf,2026-06-15
156,124,3,Capítulo I,2026-05-03,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_156.pdf,2026-05-13
157,148,6,Propuesta de tema,2026-05-28,Observado,Debe mejorar redacción y coherencia.,avance_157.pdf,2026-06-07
158,196,6,Capítulo I,2026-04-28,Pendiente,Avance aceptado para continuar el proceso.,avance_158.pdf,2026-04-30
159,152,2,Capítulo III,2026-04-04,Corregido,Revisión registrada por el docente tutor.,avance_159.pdf,2026-04-11
160,24,1,Capítulo III,2026-06-08,Entregado,Avance aceptado para continuar el proceso.,avance_160.pdf,2026-06-18
161,17,5,Propuesta de tema,2026-03-21,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_161.pdf,2026-03-29
162,83,6,Borrador final,2026-06-13,Aprobado,Documento revisado con observaciones menores.,avance_162.pdf,2026-06-19
163,176,3,Capítulo II,2026-05-05,Aprobado,Revisión registrada por el docente tutor.,avance_163.pdf,2026-05-06
164,166,5,Propuesta de tema,2026-05-25,Aprobado,Debe mejorar redacción y coherencia.,avance_164.pdf,2026-06-04
165,52,3,Capítulo I,2026-04-01,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_165.pdf,2026-04-04
166,151,3,Borrador final,2026-05-03,Observado,Revisión registrada por el docente tutor.,avance_166.pdf,2026-05-13
167,136,1,Propuesta de tema,2026-06-23,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_167.pdf,2026-07-01
168,191,5,Trabajo final,2026-05-23,Pendiente,Se recomienda ampliar la fundamentación teórica.,avance_168.pdf,2026-05-29
169,113,1,Trabajo final,2026-03-28,Pendiente,Se recomienda ampliar la fundamentación teórica.,avance_169.pdf,2026-04-03
170,122,5,Propuesta de tema,2026-05-07,Observado,Debe mejorar redacción y coherencia.,avance_170.pdf,2026-05-17
171,168,4,Capítulo II,2026-05-28,Entregado,Debe mejorar redacción y coherencia.,avance_171.pdf,2026-06-05
172,72,2,Capítulo II,2026-05-14,Corregido,Debe mejorar redacción y coherencia.,avance_172.pdf,2026-05-23
173,163,4,Capítulo I,2026-03-10,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_173.pdf,2026-03-14
174,137,2,Trabajo final,2026-03-16,Aprobado,Documento revisado con observaciones menores.,avance_174.pdf,2026-03-24
175,28,3,Borrador final,2026-07-02,Corregido,Debe mejorar redacción y coherencia.,avance_175.pdf,2026-07-06
176,112,5,Borrador parcial,2026-03-13,Corregido,Documento revisado con observaciones menores.,avance_176.pdf,2026-03-15
177,39,1,Trabajo final,2026-05-21,Pendiente,Documento revisado con observaciones menores.,avance_177.pdf,2026-05-22
178,103,1,Borrador parcial,2026-06-18,Observado,Debe mejorar redacción y coherencia.,avance_178.pdf,2026-06-21
179,163,2,Capítulo III,2026-06-26,Corregido,Documento revisado con observaciones menores.,avance_179.pdf,2026-06-28
180,192,5,Capítulo II,2026-03-24,Aprobado,Revisión registrada por el docente tutor.,avance_180.pdf,2026-03-26
181,53,3,Trabajo final,2026-06-14,Pendiente,Se recomienda ampliar la fundamentación teórica.,avance_181.pdf,2026-06-20
182,54,1,Borrador parcial,2026-06-13,Pendiente,Se recomienda ampliar la fundamentación teórica.,avance_182.pdf,2026-06-19
183,37,5,Propuesta de tema,2026-04-15,Entregado,Revisión registrada por el docente tutor.,avance_183.pdf,2026-04-20
184,66,4,Capítulo I,2026-06-19,Pendiente,Debe mejorar redacción y coherencia.,avance_184.pdf,2026-06-28
185,81,3,Capítulo I,2026-04-15,Corregido,Avance aceptado para continuar el proceso.,avance_185.pdf,2026-04-18
186,143,1,Capítulo I,2026-03-16,Observado,Documento revisado con observaciones menores.,avance_186.pdf,2026-03-18
187,208,6,Borrador final,2026-05-23,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_187.pdf,2026-06-01
188,163,4,Propuesta de tema,2026-05-14,Corregido,Documento revisado con observaciones menores.,avance_188.pdf,2026-05-22
189,35,1,Propuesta de tema,2026-06-22,Observado,Debe mejorar redacción y coherencia.,avance_189.pdf,2026-06-24
190,83,2,Trabajo final,2026-03-10,Pendiente,Revisión registrada por el docente tutor.,avance_190.pdf,2026-03-20
191,118,1,Capítulo II,2026-06-01,Pendiente,Documento revisado con observaciones menores.,avance_191.pdf,2026-06-05
192,177,4,Trabajo final,2026-04-08,Pendiente,Revisión registrada por el docente tutor.,avance_192.pdf,2026-04-12
193,151,6,Capítulo I,2026-06-05,Observado,Debe mejorar redacción y coherencia.,avance_193.pdf,2026-06-15
194,18,3,Borrador parcial,2026-07-08,Corregido,Documento revisado con observaciones menores.,avance_194.pdf,2026-07-18
195,151,4,Capítulo III,2026-04-10,Pendiente,Documento revisado con observaciones menores.,avance_195.pdf,2026-04-19
196,61,4,Capítulo III,2026-06-22,Observado,Revisión registrada por el docente tutor.,avance_196.pdf,2026-06-30
197,14,3,Capítulo I,2026-05-18,Pendiente,Debe mejorar redacción y coherencia.,avance_197.pdf,2026-05-25
198,59,6,Propuesta de tema,2026-04-19,Corregido,Debe mejorar redacción y coherencia.,avance_198.pdf,2026-04-20
199,111,3,Capítulo I,2026-06-10,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_199.pdf,2026-06-16
200,68,5,Trabajo final,2026-06-24,Observado,Avance aceptado para continuar el proceso.,avance_200.pdf,2026-06-29
201,162,5,Capítulo III,2026-03-25,Aprobado,Debe mejorar redacción y coherencia.,avance_201.pdf,2026-03-28
202,123,6,Capítulo I,2026-07-03,Observado,Revisión registrada por el docente tutor.,avance_202.pdf,2026-07-10
203,79,1,Capítulo I,2026-05-26,Entregado,Avance aceptado para continuar el proceso.,avance_203.pdf,2026-06-02
204,143,2,Capítulo I,2026-07-01,Observado,Revisión registrada por el docente tutor.,avance_204.pdf,2026-07-05
205,207,4,Propuesta de tema,2026-06-27,Aprobado,Documento revisado con observaciones menores.,avance_205.pdf,2026-06-30
206,16,1,Capítulo I,2026-06-20,Observado,Avance aceptado para continuar el proceso.,avance_206.pdf,2026-06-27
207,104,6,Borrador parcial,2026-06-07,Pendiente,Documento revisado con observaciones menores.,avance_207.pdf,2026-06-16
208,168,2,Capítulo II,2026-04-11,Entregado,Revisión registrada por el docente tutor.,avance_208.pdf,2026-04-18
209,11,6,Borrador final,2026-05-29,Entregado,Documento revisado con observaciones menores.,avance_209.pdf,2026-05-30
210,176,5,Propuesta de tema,2026-03-18,Entregado,Revisión registrada por el docente tutor.,avance_210.pdf,2026-03-23
211,141,2,Capítulo II,2026-05-16,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_211.pdf,2026-05-20
212,126,4,Capítulo III,2026-04-19,Observado,Avance aceptado para continuar el proceso.,avance_212.pdf,2026-04-25
213,123,1,Capítulo III,2026-05-06,Corregido,Revisión registrada por el docente tutor.,avance_213.pdf,2026-05-11
214,189,5,Capítulo III,2026-03-17,Aprobado,Debe mejorar redacción y coherencia.,avance_214.pdf,2026-03-18
215,143,2,Propuesta de tema,2026-04-30,Pendiente,Documento revisado con observaciones menores.,avance_215.pdf,2026-05-08
216,37,3,Trabajo final,2026-05-18,Pendiente,Debe mejorar redacción y coherencia.,avance_216.pdf,2026-05-26
217,51,2,Borrador parcial,2026-05-15,Observado,Debe mejorar redacción y coherencia.,avance_217.pdf,2026-05-20
218,184,1,Borrador parcial,2026-06-28,Entregado,Avance aceptado para continuar el proceso.,avance_218.pdf,2026-07-04
219,197,1,Capítulo I,2026-05-03,Observado,Documento revisado con observaciones menores.,avance_219.pdf,2026-05-05
220,97,5,Propuesta de tema,2026-03-28,Corregido,Revisión registrada por el docente tutor.,avance_220.pdf,2026-03-31
221,126,6,Capítulo I,2026-04-13,Pendiente,Avance aceptado para continuar el proceso.,avance_221.pdf,2026-04-20
222,75,2,Trabajo final,2026-06-25,Aprobado,Documento revisado con observaciones menores.,avance_222.pdf,2026-07-04
223,88,3,Capítulo III,2026-06-29,Entregado,Se recomienda ampliar la fundamentación teórica.,avance_223.pdf,2026-06-30
224,98,2,Propuesta de tema,2026-05-01,Corregido,Documento revisado con observaciones menores.,avance_224.pdf,2026-05-02
225,207,3,Borrador parcial,2026-03-13,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_225.pdf,2026-03-23
226,47,3,Borrador parcial,2026-04-23,Pendiente,Documento revisado con observaciones menores.,avance_226.pdf,2026-05-01
227,10,4,Borrador parcial,2026-06-20,Observado,Se recomienda ampliar la fundamentación teórica.,avance_227.pdf,2026-06-22
228,207,3,Trabajo final,2026-04-02,Entregado,Avance aceptado para continuar el proceso.,avance_228.pdf,2026-04-03
229,157,1,Capítulo II,2026-06-02,Observado,Documento revisado con observaciones menores.,avance_229.pdf,2026-06-04
230,9,1,Capítulo III,2026-04-23,Aprobado,Se recomienda ampliar la fundamentación teórica.,avance_230.pdf,2026-04-30
231,88,2,Propuesta de tema,2026-03-22,Pendiente,Debe mejorar redacción y coherencia.,avance_231.pdf,2026-03-31
232,126,3,Trabajo final,2026-04-16,Observado,Se recomienda ampliar la fundamentación teórica.,avance_232.pdf,2026-04-20
233,136,2,Borrador final,2026-04-29,Aprobado,Revisión registrada por el docente tutor.,avance_233.pdf,2026-05-06
234,177,1,Capítulo I,2026-05-28,Observado,Revisión registrada por el docente tutor.,avance_234.pdf,2026-06-07
235,68,6,Trabajo final,2026-05-10,Entregado,Se recomienda ampliar la fundamentación teórica.,avance_235.pdf,2026-05-13
